ISO3,year,gP,gN,gS,gP_noCN,sCN
CRI,1999,0.038953826325964926,0.02721949789137304,0.011734328434591886,0.038740849775038305,0.002970718678002854
CRI,2000,0.04043575056149538,0.026253067844187315,0.01418268271730806,0.04012971952846625,0.0036265018359922198
CRI,2001,0.014642279460261292,0.008883199973449748,0.005759079486811548,0.014382416557283784,0.0033394094904580667
CRI,2002,0.019871155922750832,0.012640044065546056,0.007231111857204776,0.019664902640297535,0.0023704174050467124
CRI,2003,0.0252191215666388,0.01695400008829507,0.008265121478343731,0.02486372135592619,0.0038000127266294027
CRI,2004,0.0368281328551817,0.02149777294229377,0.015330359912887934,0.03605299431348546,0.007930431987516412
CRI,2005,0.03978878471160577,0.02347400568921611,0.016314779022389658,0.038104304471394984,0.015686691456977767
CRI,2006,0.04025492913252625,0.017762922854963396,0.02249200627756285,0.037239161157509214,0.025173103272203904
CRI,2007,0.039300293111763,0.013771882111751978,0.025528411000011023,0.03358606006196879,0.04305330267194358
CRI,2008,0.019414551776116187,0.0010225646706617615,0.01839198710545442,0.0133144041327613,0.06470078902289904
CRI,2009,-0.015033089816934983,-0.01658112680839412,0.00154803699145914,-0.02186886258670146,0.07723179597446844
CRI,2010,0.0393522327367459,0.01297166814839652,0.026380564588349385,0.030908056301584098,0.08390183441751016
CRI,2011,0.03486804439141289,0.00996398815130058,0.024904056240112306,0.02904412055288913,0.06369524159366519
CRI,2012,0.028186126767015943,0.008226477249474702,0.019959649517541242,0.024666504811537766,0.04594723138408563
CRI,2013,0.023864071737599288,0.007484474709663693,0.016379597027935594,0.02191458366979615,0.02616997725513134
CRI,2014,0.030606882595110983,0.014561051820993515,0.01604583077411747,0.028650234663614278,0.027011671856956906
CRI,2015,0.031002849837690024,0.015236613936992934,0.01576623590069709,0.028932401973899104,0.030653980636517097
CRI,2016,0.022670161409343886,0.009988798076011267,0.012681363333332623,0.021098745280858804,0.023813359118902953
CRI,2017,0.029949128155054978,0.016251057577927375,0.013698070577127602,0.028985819223861255,0.014378146609049527
CRI,2018,0.025239288600636033,0.01713780920590181,0.008101479394734223,0.024728514993888624,0.007837119116636688
CRI,2019,0.020834170187635795,0.01481086853318673,0.0060233016544490635,0.02019701471426206,0.011019719855735752
CRI,2020,-0.04978486420148695,-0.023492062242640718,-0.02629280195884623,-0.050075108345942296,0.013060448993637933
CRI,2021,0.07246012825768748,0.03989573724823485,0.03256439100945263,0.07125239444735525,0.014868910669900192
CRI,2022,0.0357311499784176,0.020243338102307534,0.015487811876110069,0.03520412795161504,0.01602481636431627
CRI,2023,0.02790227546184312,0.015629304512836555,0.012272970949006565,0.02695080070250634,0.01988202813194597
CUB,1991,0.02323339961808359,0.004717826160346707,0.018515573457736887,0.004603978079730399,0.20817162258542937
CUB,1992,0.03374828430937834,0.0043034779366004465,0.029444806372777896,0.008281113957522854,0.1905470902879712
CUB,1993,0.03010897063867766,0.00316302954395892,0.02694594109471874,0.007359677875735347,0.17498403407493662
CUB,1994,0.021231596143078922,0.014902943152003661,0.006328652991075259,0.0058730873713620495,0.12329203034017072
CUB,1995,0.02151416920691422,0.013311684174668253,0.008202485032245969,0.012163323116826111,0.09215429031449945
CUB,1996,0.021505700648318662,0.010226796164565012,0.011278904483753653,0.01323357800832008,0.08980184221403016
CUB,1997,0.031409071805771516,0.015668007185699565,0.015741064620071948,0.02301505934180703,0.09157052374961455
CUB,1998,0.01912107891416942,0.01595287226984742,0.0031682066443220053,0.01277979352256766,0.08210766173416499
CUB,1999,0.03979086645833814,0.019364269293652404,0.020426597164685735,0.0356388412318366,0.057914821318317995
CUB,2000,0.05860936125026181,0.022719553452687717,0.035889807797574086,0.05452207885234324,0.04843475177518902
CUB,2001,0.0329527566738257,0.011809709708313309,0.021143046965512405,0.029273433277513722,0.047281729432430794
CUB,2002,0.027918269303415393,0.008646171528574439,0.019272097774840957,0.0242332702326803,0.04235077294747681
CUB,2003,0.029903165786618016,0.007069632311036601,0.02283353347558141,0.02540664203444819,0.04807776407778735
CUB,2004,0.04474754477179704,0.014214685872351404,0.030532858899445642,0.04010461006455289,0.04750180250062711
CUB,2005,0.043607134483436776,0.015708698081101733,0.027898436402335046,0.03880072674457036,0.04475958424219503
CUB,2006,0.05121388690125105,0.02037811673809702,0.03083577016315403,0.04600655488112161,0.04346644297614847
CUB,2007,0.05028400696834822,0.019284871495439358,0.030999135472908862,0.04165256661678513,0.06503270180134765
