ISO3,year,D_US,D_EU,D_ON,D_S
LCA,2015,0.0,5.999999999994,0.0,4.50753939612502
LIE,2015,0.0,6.0,6.0,0.0
LTU,2015,0.0,6.0,2.3307182387642156,6.0
LUX,2015,0.0,6.0,0.0,0.0
LVA,2015,0.0,6.0,2.7643374080155687,6.0
MCO,2015,0.0,0.0,0.0,0.0
MDG,2015,0.0,0.0,0.0,3.0
MKD,2015,0.0,2.5396825396825395,2.999999999997,5.999999999999853
MLT,2015,0.0,6.0,0.0,6.0
MNE,2015,0.0,2.999999999997,2.999999999997,6.0
MSR,2015,0.0,3.999999999996,0.0,4.50753939612502
MUS,2015,0.0,0.0,0.0,4.999999999999
NCL,2015,0.0,3.999999999996,0.0,0.0
NLD,2015,0.0,6.0,0.0,0.0
NOR,2015,0.0,6.0,6.0,0.0
PAK,2015,0.0,0.0,0.0,4.999999999999
PCN,2015,0.0,3.999999999996,0.0,0.0
PHL,2015,0.0,0.0,4.999999999999,5.507936507935508
PNG,2015,0.0,0.0,0.5079365079365079,1.999999999998
POL,2015,0.0,6.0,0.0,6.0
PRT,2015,0.0,6.0,0.0,0.0
PYF,2015,0.0,3.999999999996,0.0,0.0
ROU,2015,0.0,6.0,0.0,6.0
SMR,2015,0.0,0.0,0.0,0.0
SPM,2015,0.0,3.999999999996,0.0,0.0
SRB,2015,0.0,5.264033264033264,4.517241379308862,5.999999999999
SUR,2015,0.0,5.999999999994,0.0,4.5046034000474915
SVK,2015,0.0,6.0,0.0,6.0
SVN,2015,0.0,6.0,2.275862068965517,6.0
SWE,2015,0.0,6.0,0.0,0.0
SYC,2015,0.0,0.0,0.0,2.999999999999
SYR,2015,0.0,0.0,0.0,3.7578735197757895
TCA,2015,0.0,3.999999999996,0.0,0.0
TTO,2015,0.0,5.999999999994,0.0,4.507129474255123
TUN,2015,0.0,2.999999999997,2.999999999997,4.758620689655114
TUR,2015,0.0,3.999999999998,0.0,5.999999999999
TZA,2015,0.0,2.4589774078478,0.0,4.999999999998758
UGA,2015,0.0,2.4589774078478,0.0,3.7586206896551726
URY,2015,0.0,0.0,0.0,6.0
VCT,2015,0.0,5.999999999994,0.0,4.50753939612502
WLF,2015,0.0,3.999999999996,0.0,0.0
ZAF,2015,0.0,2.999999999997,1.999999999998,4.999999999999
ZWE,2015,0.0,0.0,0.0,4.999999999999
ABW,2016,0.0,3.999999999996,0.0,0.0
AIA,2016,0.0,3.999999999996,0.0,0.0
ALB,2016,0.0,3.0476190476190474,5.2920353982289114,5.999999999998996
AND,2016,0.0,0.0,0.0,0.0
ATG,2016,0.0,5.999999999994,0.0,4.50753939612502
AUT,2016,0.0,6.0,0.0,0.0
BEL,2016,0.0,6.0,0.0,0.0
BGR,2016,0.0,6.0,0.0,6.0
BHS,2016,0.0,5.999999999994,0.0,4.507129474255121
BIH,2016,0.0,0.999999999999,2.999999999997,5.999999999998881
BLZ,2016,0.0,5.999999999994,0.0,4.507837516279103
BMU,2016,0.0,3.999999999996,0.0,0.0
BRA,2016,0.0,0.0,0.0,6.0
BRB,2016,0.0,5.999999999994,0.0,4.507129474255123
BWA,2016,0.0,2.999999999997,1.999999999998,2.999999999998
CHE,2016,0.0,6.0,6.0,0.0
CIV,2016,0.0,1.6460176991150441,0.0,3.8812260536383545
CYM,2016,0.0,3.999999999996,0.0,0.0
CYP,2016,0.0,6.0,0.0,6.0
CZE,2016,0.0,6.0,0.0,6.0
DEU,2016,0.0,6.0,0.0,0.0
DMA,2016,0.0,5.999999999994,0.0,4.50753939612502
DNK,2016,0.0,6.0,0.0,0.0
DZA,2016,0.0,3.0344827586206895,0.0,3.9810944227887424
EGY,2016,0.0,3.458650401340786,3.999999999996,4.994455598700778
ESP,2016,0.0,6.0,0.0,0.0
EST,2016,0.0,6.0,2.6930637217194318,6.0
FIN,2016,0.0,6.0,0.0,0.0
FJI,2016,0.0,0.0,0.5079365079365079,1.999999999998
FRA,2016,0.0,6.0,0.0,0.0
FRO,2016,0.0,2.388794906556567,4.999999999998016,1.7578735197782818
